species,line_number,byte_offset,byte_length,record_sha256
7prod2_CR20,3497,11065122,2296,65be7b4267bf20c4303d7e182a956c172f4238eeaa33d50b9a0e72d5746a294f
7prod_DIE60,3498,11067418,2730,1a31dc5536138093d2953055f871f5e3d832c46a5c6435410e0227d978788d67
7react_CR20,3499,11070148,2605,67eff3c270a5ce3e5efa92b14440edd48422ef6976de85b62dd0c1737235e013
7react_CRBH20,3500,11072753,2611,470ac9f6a9db7588f39295089eb60f3739acc0dbdc432448ce188008a7a8b2fd
7react_DIE60,3501,11075364,2724,199e48024fcf235b0669b9e1eef9fc8f3e7fdfe836abb7e15bf8d230b6f2ecd4
7ts_CRBH20,3502,11078088,2601,0a09e63d70109d3f398b5dbe0f622959eaf09e3f97063bab411142b68c51fc4f
80_PeptideMeNH2_HB49,3503,11080689,2883,fd494be11b26dff8b66b867c9ba056cf9ffa699cb91a59f29bee53d20a9a6149
81_PeptideMeOH_HB49,3504,11083572,2838,a67a1212af0aeb0f089ddced2c3098dbb466d2b8e11b1e3930caa6b8718039f9
81_RKT04_BH76,3505,11086410,2343,9148bf542ab54e2096aba6108c30bb9427ee993bdc87028cd69b86e12625ce3e
81_pyr_XB51,3506,11088753,2507,cc8822b78abf904c4763afb89127ddb114b62ab5e4a1074fe7ca0feea0d4a0b3
89_RKT14_BH76,3507,11091260,2162,ddddd06e98b75ba125d10a3bdff1476c51322f6187a1621fe16eab071c920152
8prod1_CR20,3508,11093422,2336,d9619027a7b3584fc86844a79a7f2ccd91d76d9c6c3469c483f4ea5e4f0a5c7f
8prod2_CR20,3509,11095758,2208,0cb719edac5be5b01aa15cd12fdb3dfb81b82b4ddd31b56118164d6ef498b158
8prod_DIE60,3510,11097966,2859,8b4efe5ce966b4289bf7ef4be695951aa1cdb273b949a04dc93589e18d7bdf8c
8react_CR20,3511,11100825,2523,7cefc44c56224542e9f6bc43aceabcdf14485b3f2ba3c5069e1933d9798ffeab
8react_CRBH20,3512,11103348,2529,d551900ca95cb3ff59b0796d073e06a2ac31f108ce662a43dded0589ec929f66
8react_DIE60,3513,11105877,2860,22a5ea0c2b879d117d485481d8638c75c2a2fc4d7158308b0de34a6bef056338
8ts_CRBH20,3514,11108737,2522,869d6bcfb1dabd1db9f95a067e73fff92980ced215846c3b9cb51e5af9cee3ab
90_RKT16_BH76,3515,11111259,2207,7bd1d15cda7bedd671b999792ce97696006171eb9ff3ee1e387ca119a7dd3e75
9prod1_CR20,3516,11113466,2336,3090d3cb118ec2f87d455ebff899223a76c4b45d0e91ca472c390d42ca2b574c
9prod2_CR20,3517,11115802,2466,3d029893ec4b87a9529dc9132d51f15988297f17791932d4e45c80d3c6a1254c
9prod_DIE60,3518,11118268,2860,0d5a6a29e906beafb38ab4c97ec1290c9a1e7e63c3d10b28318866a6e598454a
9react_CR20,3519,11121128,2783,2c0148849daae0dd16dc97d2c53e509fe37ee8004a064b3e539acf395d7ec8a9
9react_CRBH20,3520,11123911,2789,7d1efc46facf31d55f795e2a4b00501e8ac793a2ed95c0ce4d566eba4a17ce42
9react_DIE60,3521,11126700,2861,4f91c7a021cfef4df805b1748f5690c945bd4262ab2925a4a85d8ec044bca465
9ts_CRBH20,3522,11129561,2778,bbb8903136322d5a75a1d10a75f8dfc7996c4f04d8208941f12121f363e65058
ACONF_B_G,3523,11132339,2708,37d59857d1f13b2678e7e788b83b0577f93a24777e5ddb6aa3cda4e470536ff3
ACONF_B_T,3524,11135047,2636,8b2a29106f2d4924d07dc000c12169402851eb6b17405fb67add88940d88084e
ACONF_H_g+t+g-,3525,11137683,2996,bba8240bc377a830d137e8f246db5349cd488a7284093e88114b5b5eb093f784
ACONF_H_g+x-g-,3526,11140679,3003,40ff2e6295c7ec2ac9bdf6dac5f5013547a587c75b996bb0e9b593ee7b299d1c
ACONF_H_g+x-t+,3527,11143682,2991,6c4ec6de214fa3e7ed30c73b5efa651318070f15fc4da688f78111b60c8136f2
ACONF_H_ggg,3528,11146673,2994,4993bea9432b4e29978d4a93498a72acd2ce78c8d3f6f2d83b3235a36c5f8d54
ACONF_H_gtg,3529,11149667,2988,1512d33d88e73ae9e91513dcda49bd54fb3b42ffd810bc9299d5d2cb70aee896
ACONF_H_gtt,3530,11152655,2994,dc17a89075c54c1575ba1867befe584e951d04ad53ca51273edd2dd89b47ae28
ACONF_H_t+g+x-,3531,11155649,2995,ebca96c04e51420c196e0e044cea97f0ed00217563d4283302f7a5f1e87a6e1a
ACONF_H_tgg,3532,11158644,2990,1d9c6d6cbec056bf9524fb588c36798e1c8e1f75a6103ab1b8757e4a36d65cb0
ACONF_H_tgt,3533,11161634,2992,a821b0d0ca908b2683b4b084c3e46fe9b65c5cca4eac41a458c92dcf9b499aa6
ACONF_H_ttt,3534,11164626,2910,17a26f734c2e1078e6cf0013a18ca484aba31b4f15d451dc8583d29974bf8ca2
ACONF_H_x+g-g-,3535,11167536,2996,001700dc101469ea6e3d9511e9efc6b5a803f69070ec4836f8fd6cc20f54e917
ACONF_H_x+g-x+,3536,11170532,2994,6f3f1117eadd0ae1ecf9a7769fc9ea5cde4c09a1e1eea1fb3b0287697b22b070
ACONF_P_GG,3537,11173526,2802,b52f98fa5198a30b40b033b54f6f2ee5d2ced687840812cba26a7437c7933550
ACONF_P_GX,3538,11176328,2845,97e46a8798915e341f90fafe811826b2d14f52bdbf1c39a50dd55a272a0a94b9
ACONF_P_TG,3539,11179173,2853,a1c02d3334f2720b758604b7e1cd1b87bad79f2e2ffa1504307fea849118460c
ACONF_P_TT,3540,11182026,2736,92233ea249e8b854002fac74cf0e82c544d540fa521cca5ef52a2b813c3e2683
ADIM6_AD2,3541,11184762,2780,706b5293ef9185fa75f4dc23ac9a99834fce613fa6632fd976be49b20da78648
ADIM6_AD3,3542,11187542,3002,95680c3efb8857fd23af88b3da7b1965ebf52ba82bdeffc2f7491133a59a90b3
ADIM6_AD4,3543,11190544,3346,6d7e43b7fae1299d8cba0a626ed3e5699631109a6b0787ee25b780c7ddaaef76
ADIM6_AD5,3544,11193890,3544,2b9016b6362bfacabbe7ae8c41c78e29d0264296bd426fc72cd14a28facb42a5
ADIM6_AD6,3545,11197434,3892,68a2b0149926633c85c3d1b131e6de4b3c58cf347fef16bb6775668f23a80391
ADIM6_AD7,3546,11201326,4122,b8df91a87f1b423d471bd9355a5ac678e082b394851908fc9e8d3e53c1650322
ADIM6_AM2,3547,11205448,2340,da96540e1a4d44bd4ad5725236ae73c85dcc9b87abce585dccc233a3a5109e28
ADIM6_AM3,3548,11207788,2469,41a12690a44439c126e2c61d7d08c2750713b3f74886794fe7e34b71b5edc70f
ADIM6_AM4,3549,11210257,2636,15eacd80b5f7ee4726c8f167899f03c2962c2cb2fe0b6582485d598fa16b188d
ADIM6_AM5,3550,11212893,2736,d06c5aef7152236974c30c3894fdee989e6b576f9e0a60aa17b45cf97bb0074f
ADIM6_AM6,3551,11215629,2894,86305b628d90f68005dfecb3b7294542d844ca721d9f897a5dce9f8ca8eae448
ADIM6_AM7,3552,11218523,3003,94553403873f97e1459a6e704f4a20b2e69e01b6a68ba35873c902b3e0351077
AE11_Ba,3553,11221526,4701,275d53ae16bd01ff64d9876e22ddfc3aea47559b301bb1c938a141499691dfb1
AE11_Ca,3554,11226227,4715,11a54839a2d2d13aeeb227ce33258b496f8527425054bfb40066436f7d046c6d
AE11_Cd,3555,11230942,4507,440c3fe517b9739a33321ae7325882e2c49701c8911fc0e0a921990677a7221b
AE11_Hg,3556,11235449,4659,4b9842d9901a3bd4423c6d2a92ed317e82ad1dfd55a98ed971528ad9fb6c314c
AE11_Kr,3557,11240108,4419,afe63f7ba7777791c608a8cfaa1c4e3d6e9e597edf70f4f3478cc6ba58431dad
AE11_Pd,3558,11244527,4442,5508ea625f529ce0e5ae966626927d849daf679bb1956641feda7053febcee44
AE11_Rn,3559,11248969,4747,de5e1f9549c38f7f9991878479899f42e4baf583419a1220d9e6a0a72b37d1ab
AE11_Sr,3560,11253716,4515,47cbe2f82876cd9e6f1f063bab47e431bb82142fbe949819393947028b3c28f1
AE11_Xe,3561,11258231,4604,b9afc7dc8e339b06c8429b49a18f0ac69594e889671b9145050e720cf61288cf
AE11_Yb,3562,11262835,7178,0a996d537939c6cecd6fcd907eae37ff34eb39e77365f7e0edadeee9bd8a05fb
AE11_Zn,3563,11270013,4346,3e61a3c05ad82dd8682c06a1f0cdf2b5222f8863477ecb155a3cde6247e663d7
AHB21_1,3564,11274359,2216,b32589663f2ddcabea2730ba0a17a5e4fa1d489bea7258c951b4bd514cdf88ed
AHB21_10,3565,11276575,2214,41c35551839952b2a070b494ff31fce96c213739a67825dfa8e033bf8a0f74cf
AHB21_10A,3566,11278789,2102,81bc25cb9f66f2a8dc279d7dadccdd22dafcbab66c354a7d8859a07672a21a70
AHB21_10B,3567,11280891,2141,a2e32655c5c648f12a26b682f90c352ea7e2c3e179fcfd87eef73e28cd96cf87
AHB21_11,3568,11283032,2288,2e5123165c2c47d87dd6983a7ed4037b2240a33a274bc84e89fe0e670dfcb31d
AHB21_11A,3569,11285320,2136,1bd329ab72565e02b9c63d1681466cdf352ce047a02fcf0715ef14c5b6450a0e
AHB21_11B,3570,11287456,2177,7fd8a6c879d72dabc2bd38e5c0b8050ccfe399e7889e2393cdf5b2f541baf078
AHB21_12,3571,11289633,2250,d850dbba92f62ca251fb3eb5da5d441b9f9c7f3dfe01813fc4f4523e947f96cb
AHB21_12A,3572,11291883,2132,9d785ca94aab34deb69a467f59a93c7d2618232889fc4913099ebe3a2c48fac3
AHB21_12B,3573,11294015,2139,bdb81f090a8c15de8bc8f0c37d8a4ef17483125b6fb9d95920e2812e104afc46
AHB21_13,3574,11296154,2216,1cf93e242904ef24157e5b9dcdeef5a8f0bd510ed82e7d59e08166af02141542
AHB21_13A,3575,11298370,2136,5826f334244118899cafd98f8c056d2b389593e939b6bf8877e9b47bf9d8785c
AHB21_13B,3576,11300506,2101,24d9e1e8c2a3afc75dceb70728ab8f2beccb93aaeaf5dc60199fca9dc786a57e
AHB21_14,3577,11302607,2251,4b95b36342bb9a69f5e3479a74495c11cee604ce1eff969f0f1deafc142a6540
AHB21_14A,3578,11304858,2135,98353fd3ef398dfb3e6344c6bcd52e6e8e20de7cd1555635fdc3983a6a0cf5c4
AHB21_14B,3579,11306993,2137,2701e7560610b3f646bd72e9b54eb4e712f92e60d55b0e2739dc14607ce32fca
AHB21_15,3580,11309130,2255,f9cc985f636055a7159fdc7be071860011fc0e9279eecdf7329c7370bdb2e146
AHB21_15A,3581,11311385,2103,bc6fb2f983bb81d0e2ce872b33423399f7509c4f10b18e4e7d77c8273627bf3d
AHB21_15B,3582,11313488,2177,6ae86ba08ad52c9f765e5f1bb8ae14920b66e042de29f5d447b75a38c4a9f090
AHB21_16,3583,11315665,2219,f376338b23978aaddbd46a477485e3f9d4ce0cc6326d31bd108d37da79eba1b5
AHB21_16A,3584,11317884,2105,43a02312e1755360c5a81690e257fa426128c2e66c9051995bf36388cabd99fd
AHB21_16B,3585,11319989,2139,4cf508d4aaaeb11de30c1d409da2b5bec7358a5a8a1e512cfc6c7d4275f9101f
AHB21_17,3586,11322128,2179,97f24207db2f17bb7d0faf069e9299b195218f1ec01aab06ff897ad6133e8708
AHB21_17A,3587,11324307,2103,419cc1f659b09bb7e966ede980ab2f35ab30f39c4e7095b4e39cf57b1938e9e4
AHB21_17B,3588,11326410,2101,d2dc5520ac1a54acc09edde286ea99af2c14a37b963f670b8775176b4d90d852
AHB21_18,3589,11328511,2440,58aa81d68d276d57e0a5db2a30daf05404a018b3c2f41bde6774e1f9b4ac42bf
AHB21_18A,3590,11330951,2180,13c9dac67c19b403112b7b335b899025b3eddc6b753b975fab7834fbc4a3143a
AHB21_18B,3591,11333131,2288,b9c75ecf99860fa54b7a0eee06024434fa5c3340c62c2374d342070ac501299a
AHB21_19,3592,11335419,2399,696b36e3df73c7654f855f9b5bf13302faa66fd165dc1c0cc360ea330ac4f35a
AHB21_19A,3593,11337818,2180,2f493c0f6fc4823c3767e2ed145fa718c9decbdd227c973d2f3d71fb327b775c
AHB21_19B,3594,11339998,2251,de4a1ba7d03c667e9096adb68362bc2cfa5e215d6df29750354d95f8eab52bda
AHB21_1A,3595,11342249,2060,9a3cefbb46927a6efc7f40fe21a54e611f027c1f3bdf1bede98d0a29a1413b74
AHB21_1B,3596,11344309,2175,ed92205c1ab858a239df372ae4d6aa6eb34fae9c868b95c0dd869c077dd56fe1
AHB21_2,3597,11346484,2151,8f93f2d9ea9ba79d4228519f4e75dcdbbad1f4bbb17da49132e606b44063525e
AHB21_20,3598,11348635,2292,cbdcfe186e313d5154def6869470a751436fcfb5df3b90912c054b1615986685
AHB21_20A,3599,11350927,2183,1047660243c3d55ba8afc92822969cdaba5336628d8ed452d8270d5b0a85820c
AHB21_20B,3600,11353110,2138,6f60608246c73835f88525538af2afc50d40be56e9fe81d23f25b8c30d40401b
AHB21_21,3601,11355248,2257,d838fbe78f2097bf71745d638ad1857a443dbffaae18cb2ccf727a44ab40a706
AHB21_21A,3602,11357505,2181,37e037b12b1c3d51003599220598cb1f10eab6f8e6fd347d21ca0fcb7a831aec
AHB21_21B,3603,11359686,2101,4890b50163ea4d62ce85e87efbc3bc4620e64edcbea6ebcc1f0d3517ef24d536
AHB21_2A,3604,11361787,2053,16a0940c56d1c828b5bf5e5f762ce3f5d65058001a62ad2ca979b81f3440f467
AHB21_2B,3605,11363840,2117,bf5fe3f41d24f75dee9f6c5ce1716a1683e20cd3a246fd1c71ba8618393bf9fd
AHB21_3,3606,11365957,2137,1aa47516203273ad4114b108a2e1a0986903614e1b03bc25b9883a405dc9ac49
AHB21_3A,3607,11368094,2059,75b66ee81ff08ee71da688db81a3fc80aac7325bc42274957a64e5344ebeb961
AHB21_3B,3608,11370153,2101,987919b856eac1e26ca9315bb346436241868e32940516d93cfc98b9eb0fa381
AHB21_4,3609,11372254,2218,e4b479b927d52e77e6aa7342000d925ac28a5ed1c70b7041210f749f3f29fcac
AHB21_4A,3610,11374472,2062,414a1e24a439bce9c94aec7515029340dd38cb2362eb76d32536c7c27ef724a1
AHB21_4B,3611,11376534,2175,7cff4f4f60150415349d649c7e064fb7eec67c2d1394d7f6660e9136b5977404
AHB21_5,3612,11378709,2153,df188869c1b3b3726a4e222b0fb4fe0d391554db6982d938b1b0b3f31ca71703
AHB21_5A,3613,11380862,2055,e2a426038f0a43535c90baf5c4ca88383271cc462f3a39f6e8843a292ce850fb
AHB21_5B,3614,11382917,2117,ba210db055a55bde58eb1f93030e4f0c0b6bd688535ed7bba6123041b829ab26
AHB21_6,3615,11385034,2142,b6bc8f77eb836b755155893d7a2131b9086c7c1a2a74ca2956dc82598887f21b
AHB21_6A,3616,11387176,2061,34f09f84d548f6dcdae7486ef5cfddf9f28ace28f7fb7f3ee9c0e3c893a7163a
AHB21_6B,3617,11389237,2100,ab83ee284f9a43ab1ea6c67495ab6a0711b886d2cc3ae4942d7903c7d886215e
AHB21_7,3618,11391337,2179,6dec8e171adc0a76c25dd13906576d2cf6f01aa0449708a4f73b93e5ac8d00d2
AHB21_7A,3619,11393516,2061,6495833f6706a06aa5971415ca0329f94c8b02218ab8a41b4dd3133954543b2f
AHB21_7B,3620,11395577,2137,15f974a66772b3b9c51be1282c24429dffb152847fd5b25177c708194ee00aad
AHB21_8,3621,11397714,2141,729df1b78752302d4366de93d20df17112315679af07ff7aa8ad956342dc7aa2
AHB21_8A,3622,11399855,2062,41c33cba45a84525384decaec6c2eee349d333738780887c1cab7c509611e205
AHB21_8B,3623,11401917,2103,2d6fb5e4dfea10f3e76704d833a7a24daa68c54393312aa22641b91529285ef9
AHB21_9,3624,11404020,2252,173c3defffa746c735c332607d7fd3dde09a56779aef13a92d2a0e1358c1b134
AHB21_9A,3625,11406272,2101,d759fc84178ef97d671d6e7021e44834caba711e11134daa39aee18ea9f18686
AHB21_9B,3626,11408373,2174,ef3bb53fc50167623845e6e55a8cee1a3022d582edd1f91cc9883000fea5bf59
AL2X6_al2cl6,3627,11410547,2385,bee9e4cfed58bec7016404c7da44121c0862a661b0d2b6393c21d54ce55453c7
AL2X6_al2f6,3628,11412932,2376,f6ce05b2201ac93581d2c6f589da08117c92fcffba5bb95b075ed12ed614563d
AL2X6_al2h6,3629,11415308,2376,255a4cc8b18babd82a3b10bf0b2fe087c66930e11bab1ba4aed37211078a39e5
AL2X6_al2me4,3630,11417684,2903,d7f4a758d761f5b5fa9326b3372b45332b3562cc4ea8c4793ff2b543b41c2acd
AL2X6_al2me5,3631,11420587,3042,68c7ae2d1ec79f429143f8cf7d9056bba3832fa768bcda4dbbc2ca62586cd10b
AL2X6_al2me6,3632,11423629,3164,e5ad2fb59f85bf2525f2a4fae1da15a0b998bc099c537341940e6d76f76a06ae
AL2X6_alcl3,3633,11426793,2207,bffb1f8d651ea76a1ef85c987d00fa7ad36dde5a308ad946b91c00de462aff19
AL2X6_alf3,3634,11429000,2201,86331b3af6bdde8332f89152b48baa58f2eee45d745c2bc2ad5bfb6407a0fea1
AL2X6_alh3,3635,11431201,2202,f318107e4874f292daaf48e6fe8bcf1755c99c26c8394fe75e422308218da7b9
AL2X6_alme2,3636,11433403,2468,99ee505608d45e2cc20034e1c283badfd64d356b70e89e09e02eead7197c1f41
AL2X6_alme3,3637,11435871,2601,fcf5312288e29bae1d5477c81c55c089a51622055b59d21fa09999fe179499a4
ALK8_li+,3638,11438472,2054,1be0e770804d748868e2e83050d0bcba226114f98cbdb8a94077c2c2569722be
ALK8_li2,3639,11440526,2089,bc7ebb3ae4734ac7636fa2f646cdc1542191015139131a11391e1c9460dd0132
ALK8_li2_ch2n_2,3640,11442615,2461,c6e51b5ea3c572153a75d58a81f2cdde228fd89713faa96998330e8fcc2a8172
ALK8_li2_ch4,3641,11445076,2279,f6f2aebf22bf18baaeeb81fecbcea7bee60c1d6c14f5e5dbe4e476c6e91e4bd7
ALK8_li3_me,3642,11447355,2275,d79087977ede0b6e69dd2a8bc0a9f6716c75d4d5c6d89757dddddbe3b426cf8d
ALK8_li4_c,3643,11449630,2203,7152eace616fe2287d9a127d4c6a2c2aaf7d0f2b6dcd6a8687b151fb6c5416a6
ALK8_li4_me4,3644,11451833,2731,22c3a243ef136d8e8e886cbc0eac7942783476d2c376ff387e0585dc549b1a05
ALK8_li5_ch,3645,11454564,2275,8516c05077e9bf77b7effa914277606f002218ff0ffffa269cfa12c88e3902b5
ALK8_li8,3646,11456839,2304,34b374ff4d34e77951da7f536a6f79ade04f044797036a389a4d22f617db6223
ALK8_li_ch2n,3647,11459143,2246,89a45ed0b5b4a1eefc6eac6771296bafb27108599c02c037f9f3ac36cd78bb13
ALK8_li_h,3648,11461389,2094,647386ff363be33e188d2824487144e220b38ca5cc09f240853b2ca65a87f003
ALK8_li_me,3649,11463483,2206,4191db98cfc21068eea21048cb147d46d7b54fcc94837cf791c685c03af33fbc
ALK8_li_na_h2,3650,11465689,2177,64e6742c8021003206dbb9b117e7e789f2baf9c3af48fe92369bfebb819ada6d
ALK8_na+,3651,11467866,2054,542ef34a5d615000bc4731174829db6c282393caf3c28f6597fb07b4e68823a7
ALK8_na2,3652,11469920,2089,76342625ad8379969985430e1d948948d636e79c2c6752fb9c92b8ea73f190d4
ALK8_na2_h2,3653,11472009,2166,bc3ff72d25515c56ac4c1e13933511487a60c26b7547ce128fc76034574da127
ALK8_na8,3654,11474175,2304,af5693797dca429aea59562bbdfc717b6e2668b14365ba535874c7b2207d6dd7
ALKBDE10_be,3655,11476479,2065,28e7997f9d41c50e2517b56548b331cb34a55ebbd8933ec181b1359c8cd869ab
ALKBDE10_bef,3656,11478544,2105,b0fded21560394544f70094ca80bdcd5f4b14787034329e39c315b877bf97c1c
ALKBDE10_beo,3657,11480649,2105,526e5216b3a0379440ac7db7029657aa2b71a2d3495ae1bd6bc6cabe98059353
ALKBDE10_ca,3658,11482754,2065,e78ca7fbbb6730ff003facb18f0ead3535b17a3415d8ae68860c074fad8c09ab
ALKBDE10_cao,3659,11484819,2105,d8d29551496afe28f099afd7df82b89aa6ff36f65cfb0985fbed14dabd6f357c
ALKBDE10_f,3660,11486924,2061,b19fae7728957422860720c0f0aad66afaca3d9f16e2bfbeb90ec996023beb3d
ALKBDE10_h,3661,11488985,2061,f1dc75a860592a0d7b2debdef0c73b8657403944022e67b9d9a0584879bd6026
ALKBDE10_hf,3662,11491046,2101,0e395f9c3f2ac2c01a52f7d4962d221f9f2cbf828081caef6355260b77620392
ALKBDE10_k,3663,11493147,2061,0719bb8430c979ba7352b1c0fe9ad715121ee2d8c0817fbd0acf634b7d971c50
ALKBDE10_kf,3664,11495208,2101,1caedacf509cd22a40e383ee85b8a2668d044344c7e7efc25c74f40bf68663dc
ALKBDE10_li,3665,11497309,2065,336aa9303da95b2e7c93cf8393b458bf12cc62def087e5178c81c3efdf52a744
ALKBDE10_lif,3666,11499374,2105,e96be1a58ca79de58c3ce4582bf3af750fe03560115162549122267a9591e3ed
ALKBDE10_lio,3667,11501479,2105,1522e99bb2b19bc9c740bedfa0dae07cb2d9c99014e4e4d89f7c51e0d009cb22
ALKBDE10_mg,3668,11503584,2065,a28c0ceab71538c20dcaac65662e13a92e96e611f165ae07ecc3d94ffe8d7870
ALKBDE10_mgo,3669,11505649,2105,112d3c77b00f5e8d9d32b174b60398efdfcbe01bd448c8a61580e7975088654d
ALKBDE10_mgs,3670,11507754,2105,b373e1de64e6a151408bdcb9efb70e630c30dfb2a880be8fc8ee5c5d9132b0b1
ALKBDE10_na,3671,11509859,2065,e7742e3994e36b951a1231318540b2420018d1f67e2a5185c68f09bf6b5a72c9
ALKBDE10_nao,3672,11511924,2105,43fa5252d368d806990e1f1169519b81b1fcfd70e376caf5c536d30b774587fe
ALKBDE10_o,3673,11514029,2061,18db8793b128bea5b0e979f0af405492fb446f5287104347eab81a594e7c8cbc
ALKBDE10_s,3674,11516090,2061,080f7754571646cbcb31b24b910c3d8a95b041c762efaf9b87cac14c0de75f38
Amino20x4_ALA_xab,3675,11518151,3287,884b6a68cb6cef0255b22c3106834cb1aa0dffa4e830f232e77421d80c1f02aa
Amino20x4_ALA_xac,3676,11521438,3283,313c909141f7fd8fef1ebf2520756c5e7a335ba430749400fce1232c51830863
Amino20x4_ALA_xag,3677,11524721,3276,859948a1b087b6fbb98a2504c5536dedd1d00f830c5d9cdeb892f8495eefda73
Amino20x4_ALA_xai,3678,11527997,3275,ef183221dc002ff3e01df95d1227bbc336cff23e989ebe2609735d9199f34941
Amino20x4_ALA_xak,3679,11531272,3279,20931641b2d99b2bd22865f93aad44e223662d33fd17760375852671c240df3a
Amino20x4_ARG_xak,3680,11534551,4002,7892bd9e50cf8d8b136e9d7176dbdc604e08b1b5d62ab2fa03852083dabfff35
Amino20x4_ARG_xbv,3681,11538553,4000,2bc8f421e3846bdfa13b073b899c760ce8105fe23e68ddbd570d4d618c4afab8
Amino20x4_ARG_xbx,3682,11542553,3999,f9cbf5ace058fb0ab2b12284f50b2544caecefe5de3287f9021dd3da8a9e211e
Amino20x4_ARG_xby,3683,11546552,3999,37ebabad425ed61b8758e72939414b23792d8dd862a8aaaf3130307643780171
Amino20x4_ARG_xci,3684,11550551,4002,e1963ad0a2ddc8a99550df5b9d7ea0edb55e81d2c507ed14d1f0594e58893b91
Amino20x4_ASN_xab,3685,11554553,3503,b9361a6d9b97d9d800b9a1ea22116fa87f9bd131eb46de94e40e17cd61d331d5
Amino20x4_ASN_xae,3686,11558056,3504,0dcedffecb3d44bca3c5079600a8dd0c4ce617aa9a5b5015ee007d812f9b2f81
Amino20x4_ASN_xaf,3687,11561560,3504,448ac7a2eca2932b053d005ce67b3ace6ff1a95af3388072cdb73705fbc0caf2
Amino20x4_ASN_xah,3688,11565064,3505,01bb9e5c07c0eec94e23c75be33753f0e3b6708eb8eafaeba41268d517c78ea3
Amino20x4_ASN_xaj,3689,11568569,3505,d6fd6a938f7505ebd5c70283a250013a701aa2ed4199f88fb902269c5c3f379a
Amino20x4_ASP_xad,3690,11572074,3443,4b09ae5a1fdf7b52a1e03a1932ca94283ac8aefa3c190cf3493ac2198be400de
Amino20x4_ASP_xau,3691,11575517,3450,86bd8d6d4ce92a97c6235201b5291fecc1f158440441c5da146e46391064dce1
Amino20x4_ASP_xay,3692,11578967,3447,9e71c23dfe07976add18a979c94b9fe8b05c85f28aa3b300000bde4681eae977
Amino20x4_ASP_xaz,3693,11582414,3447,f60f5c5e84bb668a8bb4822194eb7d1b21956d44eed9c012c014507ddf652824
Amino20x4_ASP_xbc,3694,11585861,3440,3c68a87ddfb30fbb2af783d2ddc07603f6636f2c63e1d3d48c8a30eacae71a67
Amino20x4_CYS_xag,3695,11589301,3344,becc210cd9fb0240fb5813b4af132d891aa67a250893ed29bf166c6663438cdd
Amino20x4_CYS_xah,3696,11592645,3336,88fbd81a74a15e3108a94a2de7eecfac47aaafc6fc963d834e481a7f84caafe4
Amino20x4_CYS_xai,3697,11595981,3340,17129c8079f80d256122361505c5fd0321048dd24b0e56e3b919b83e82f233a1
Amino20x4_CYS_xal,3698,11599321,3342,ee25b6fa179b1864866119fc293354ba432715e2061201fc5144ffa866412e99
Amino20x4_CYS_xao,3699,11602663,3338,41e26fdc2346035bdb58248a452ef8c44eb73291d9b6ce6c2a7fb5d4d067312c
Amino20x4_GLN_xai,3700,11606001,3670,608efba894082d392cb20347cb706077d0b0a0b83de6dbb86450e4e0ef61b5e1
Amino20x4_GLN_xal,3701,11609671,3669,0af7a584daf837f1f456537dac57b9a945e70a819c54c0d05667b6a5e81a1e64
Amino20x4_GLN_xan,3702,11613340,3668,ce3a40a48f0786064e8963e871d5002f5243690860cce7cfa6f9688d2eb85b6e
Amino20x4_GLN_xap,3703,11617008,3669,38f584a74668d6793bb64c6e1bfb690cb6512393303b0dd69283c224d0d38af0
Amino20x4_GLN_xat,3704,11620677,3674,f676b0627e24f852529d96b18ffda0ba05e6922c8d76527c0924df8dbc609422
Amino20x4_GLU_xad,3705,11624351,3612,ce7603e24edafd28b38747cacad74b7bebdf7b205624716f696cd6170ae52882
Amino20x4_GLU_xal,3706,11627963,3613,79a505c161d1817cbc35aaec83947209d126e799ee73c68d303d0f44b1f127b9
Amino20x4_GLU_xar,3707,11631576,3610,154ffde14381607730fb48856273e64d4253e8c2c40877e15faa9883110dca4b
Amino20x4_GLU_xav,3708,11635186,3610,33cc988d3ed018a6ae84d692b8e2a2da311e60a9770307c347b6eca136d8afbf
Amino20x4_GLU_xbi,3709,11638796,3613,76a741b72ae8297b21505ffd49af9d548154814c9e5f17570cc8862d7dcfbc5a
Amino20x4_GLY_xab,3710,11642409,3109,ea35ed5d4c639e4f8b398de5a67661655835d3919eea9f52c3eb0c6aa8968448
Amino20x4_GLY_xac,3711,11645518,3110,06faf6b48594487cf344df5911182b2b8d1a5fe542155f6337ff41f125e23551
Amino20x4_GLY_xad,3712,11648628,3110,a7754528f289a4f366030a82f572f9f1b7cd21c800b804f1cb507ad201c28e2a
Amino20x4_GLY_xae,3713,11651738,3105,ae43d0aef0702d29755a36e8b8bda2389c96db8ed568571ed3f77c5ed90a27c2
Amino20x4_GLY_xag,3714,11654843,3121,ef4011979a01cb4a80005799c801e9388b5ba3f5d9922a7d977e74b77f0162fd
Amino20x4_HIS_xah,3715,11657964,3664,279105622bdd7bca9dd87546fc11f04e7e54b385e0566ae73e6c0f487765c4c0
Amino20x4_HIS_xam,3716,11661628,3670,cfc34d722d968dd271e3d1fcbbc36d992d7a01415047a111349c936e90254c9b
Amino20x4_HIS_xaq,3717,11665298,3669,7a8cd69ef80aea631ec474ebb0315f3c82ce539969528a62b8cb7dfcf311dff5
